3.15	2561.31011
3.2	2594.64212
3.251	2633.54555
3.301	2647.72387
3.35	2682.38289
3.4	2709.97367
3.45	2741.19031
3.501	2757.06989
3.55	2777.31066
3.6	2762.74889
3.651	2497.15092
3.701	2140.32882
3.75	2171.19592
3.8	2340.66631
3.849	2409.86552
3.9	2435.72529
3.95	2436.12747
4	2443.79417
4.05	2434.92133
4.101	2426.5117
4.135	2393.83451
4.15	2407.89903
4.2	2368.85202
4.235	2326.27319
4.335	2273.22685
4.437	2251.71695
4.536	2239.75306
4.634	2227.57927
4.736	2193.46846
4.835	2051.0658
4.936	1846.2501
5.4	1714.28571
5.8	1714.28571
6.2	1578.94737
6.6	1518.98734
7	1463.41463
7.4	1276.59574
7.8	1237.1134
8.2	1165.04854
8.6	1165.04854
9	991.73554
9.4	882.35294
9.8	863.30935
10.2	827.58621
10.6	779.22078
11	722.89157
